program,type,directed,batch,nodes,modifier,diameter,time,clocktime,system,percent,memory,voluntary,involuntary,faults,exit
nx,er,0,0,10,2,3,0.000250101089478,0.000246,0.09,96%,26292,15,24,0,0
gl,er,0,0,10,2,3,0.16369,2.36689,0.59,965%,24292,8282,1108,0,0
gtp,er,0,0,10,2,3.0,0.000303983688354,0.000302,0.18,99%,63132,51,188,0,0
glp,er,0,0,10,2,3,0.339719,15.2214,0.43,2143%,20932,8794,2230,0,0
snp,er,0,0,10,2,3,0.000102996826172,0.000119,0.05,92%,31584,2,15,0,0
nx,er,1,0,10,2,5,0.000245094299316,0.000247,0.13,96%,26300,9,26,0,0
gl,er,1,0,10,2,5,0.212165,3.0029,0.36,1023%,20360,11192,1259,0,0
gtp,er,1,0,10,2,4.0,0.000298976898193,0.000297,0.18,99%,63124,40,166,0,0
glp,er,1,0,10,2,5,0.384898,16.4411,0.56,2343%,20908,12826,4857,0,0
snp,er,1,0,10,2,3,0.000108957290649,0.000123,0.04,94%,31596,1,2,0,0
nx,er,0,1,10,2,3,0.000276803970337,0.000276,0.07,76%,26292,24,32,0,0
gl,er,0,1,10,2,3,0.187902,2.75853,0.73,1132%,34276,8691,1250,0,0
gtp,er,0,1,10,2,3.0,0.000319004058838,0.000316,0.17,99%,63136,49,137,0,0
glp,er,0,1,10,2,2,0.142585,6.37196,0.59,1828%,25248,7181,2902,0,0
snp,er,0,1,10,2,2,0.000111818313599,0.000127,0.03,98%,31584,1,2,0,0
nx,er,1,1,10,2,6,0.000212907791138,0.00021,0.12,80%,26296,9,39,0,0
gl,er,1,1,10,2,6,0.253129,2.38758,0.56,1047%,26236,12383,1297,0,0
gtp,er,1,1,10,2,4.0,0.000337839126587,0.000334,0.16,99%,63128,50,121,0,0
glp,er,1,1,10,2,6,0.487396,19.4107,0.85,2219%,28272,15518,6117,0,0
snp,er,1,1,10,2,5,0.0001060962677,0.000119,0.02,94%,31596,1,1,0,0
nx,er,0,2,10,2,3,0.000274896621704,0.000275,0.12,77%,26288,8,45,0,0
gl,er,0,2,10,2,3,0.158387,1.92189,0.32,1215%,24520,8453,1578,0,0
